,Number,Name,Country,Region,Type,Activity_Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant_Rock_Type,Tectonic_Setting,clean_Country,clean_Type,clean_Elevation,clean_Latitude
0,210010,West Eifel Volcanic Field,Germany,Mediterranean and Western Asia,Maar(s),Eruption Dated,8300 BCE,50.17,6.85,600,Foidite,Rift Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
1,210020,Chaine des Puys,France,Mediterranean and Western Asia,Lava dome(s),Eruption Dated,4040 BCE,45.775,2.97,1464,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
2,210030,Olot Volcanic Field,Spain,Mediterranean and Western Asia,Pyroclastic cone(s),Evidence Credible,Unknown,42.17,2.53,893,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
3,210040,Calatrava Volcanic Field,Spain,Mediterranean and Western Asia,Pyroclastic cone(s),Eruption Dated,3600 BCE,38.87,-4.02,1117,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
5,211003,Vulsini,Italy,Mediterranean and Western Asia,Caldera,Eruption Observed,104 BCE,42.6,11.93,800,Trachyte / Trachydacite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
6,211004,Colli Alban,Italy,Mediterranean and Western Asia,Caldera,Evidence Uncertain,Unknown,41.73,12.7,949,Foidite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
7,211010,Campi Flegrei,Italy,Mediterranean and Western Asia,Caldera,Eruption Observed,1538 CE,40.827,14.139,458,Trachyte / Trachydacite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
8,211020,Vesuvius,Italy,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1944 CE,40.821,14.426,1281,Phono-tephrite /  Tephri-phonolite,Subduction Zone / Continental Crust (>25 km),Other country,Stratovolcano,1000m--2000m,1
9,211030,Ischia,Italy,Mediterranean and Western Asia,Complex,Eruption Observed,1302 CE,40.73,13.897,789,Trachyte / Trachydacite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
10,211031,Palinuro,Italy,Mediterranean and Western Asia,Submarine,Eruption Dated,8040 BCE,39.48,14.83,-70,Phonolite,Subduction Zone / Continental Crust (>25 km),Other country,Submarine,-1000m--0m,1
11,211040,Stromboli,Italy,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,2016 CE,38.789,15.213,924,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km),Other country,Stratovolcano,0m--1000m,1
12,211041,Panarea,Italy,Mediterranean and Western Asia,Stratovolcano,Evidence Uncertain,Unknown,38.638,15.064,399,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km),Other country,Stratovolcano,0m--1000m,1
13,211042,Lipari,Italy,Mediterranean and Western Asia,Stratovolcano(es),Eruption Dated,1230 CE,38.49,14.933,590,Rhyolite,Subduction Zone / Continental Crust (>25 km),Other country,Stratovolcano(es),0m--1000m,1
14,211050,Vulcano,Italy,Mediterranean and Western Asia,Stratovolcano(es),Eruption Observed,1890 CE,38.404,14.962,500,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km),Other country,Stratovolcano(es),0m--1000m,1
15,211060,Etna,Italy,Mediterranean and Western Asia,Stratovolcano(es),Eruption Observed,2016 CE,37.734,15.004,3330,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km),Other country,Stratovolcano(es),3000m--4000m,1
16,211070,Campi Flegrei Mar Sicilia,Italy,Mediterranean and Western Asia,Submarine,Eruption Observed,1867 CE,37.1,12.7,-8,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km),Other country,Submarine,-1000m--0m,1
17,211071,Pantelleria,Italy,Mediterranean and Western Asia,Shield,Eruption Observed,1891 CE,36.77,12.02,836,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Shield,0m--1000m,1
18,211080,Marsili,Italy,Mediterranean and Western Asia,Submarine,Eruption Dated,1050 BCE,39.284,14.399,-779,,,Other country,Submarine,-1000m--0m,1
19,211800,Amiata,Italy,Mediterranean and Western Asia,Lava dome(s),Unrest / Pleistocene,Unknown,42.9,11.63,1738,,Subduction Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
20,212020,Methana,Greece,Mediterranean and Western Asia,Lava dome(s),Eruption Observed,258 BCE,37.615,23.336,760,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
21,212030,Milos,Greece,Mediterranean and Western Asia,Stratovolcano(es),Eruption Dated,140 CE,36.699,24.439,751,Rhyolite,Subduction Zone / Continental Crust (>25 km),Other country,Stratovolcano(es),0m--1000m,1
22,212040,Santorini,Greece,Mediterranean and Western Asia,Shield(s),Eruption Observed,1950 CE,36.404,25.396,367,Dacite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
23,212050,Nisyros,Greece,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1888 CE,36.586,27.16,698,Dacite,Subduction Zone / Continental Crust (>25 km),Other country,Stratovolcano,0m--1000m,1
24,212051,Yali,Greece,Mediterranean and Western Asia,Lava dome(s),Evidence Credible,Unknown,36.671,27.14,180,Rhyolite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
25,212805,Kos,Greece,Mediterranean and Western Asia,Caldera(s),Unrest / Pleistocene,Unknown,36.852,27.251,430,,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
26,213000,Kula,Turkey,Mediterranean and Western Asia,Pyroclastic cone(s),Evidence Credible,Unknown,38.58,28.52,750,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
27,213001,Karapinar Field,Turkey,Mediterranean and Western Asia,Pyroclastic cone(s),Evidence Credible,Unknown,37.67,33.65,1302,Trachyandesite / Basaltic Trachyandesite,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
28,213002,Hasan Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,Evidence Credible,Unknown,38.13,34.17,3253,Dacite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,1
29,213003,Gollu Dag,Turkey,Mediterranean and Western Asia,Lava dome,Evidence Uncertain,Unknown,38.25,34.57,2143,Rhyolite,Intraplate / Continental Crust (>25 km),Other country,Other type,2000m--3000m,1
30,213004,Acigol-Nevsehir,Turkey,Mediterranean and Western Asia,Caldera,Eruption Dated,2080 BCE,38.537,34.621,1683,Rhyolite,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
31,213010,Erciyes Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,6880 BCE,38.531,35.447,3864,Dacite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,1
32,213011,Karaca Dag,Turkey,Mediterranean and Western Asia,Shield,Evidence Credible,Unknown,37.67,39.83,1957,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Shield,1000m--2000m,1
33,213020,Nemrut Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1650 CE,38.654,42.229,2948,Rhyolite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,2000m--3000m,1
34,213030,Tenduruk Dagi,Turkey,Mediterranean and Western Asia,Shield,Eruption Observed,1855 CE,39.356,43.874,3514,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Shield,3000m--4000m,1
35,213040,Ararat,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1840 CE,39.7,44.3,5165,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,5000m--6000m,1
36,214010,Elbrus,Russia,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,50 CE,43.351,42.442,5642,Dacite,Intraplate / Continental Crust (>25 km),Russia,Stratovolcano,5000m--6000m,1
37,214020,Kazbek,Georgia,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,750 BCE,42.7,44.5,5050,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,5000m--6000m,1
38,214050,Samsari Volcanic Center,Georgia,Mediterranean and Western Asia,Lava cone(s),Evidence Uncertain,Unknown,41.542,43.7,3290,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Other type,3000m--4000m,1
39,214060,Aragats,Armenia,Mediterranean and Western Asia,Stratovolcano,Evidence Credible,Unknown,40.53,44.2,4095,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,4000m--5000m,1
40,214070,Ghegam Ridge,Armenia,Mediterranean and Western Asia,Volcanic field,Eruption Dated,1900 BCE,40.275,44.75,3597,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Other type,3000m--4000m,1
41,214080,Dar-Alages,Armenia,Mediterranean and Western Asia,Volcanic field(s),Eruption Dated,2000 BCE,39.704,45.551,1637,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
42,214090,Porak,Armenia-Azerbaijan,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,778 BCE,40.028,45.74,3029,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,1
44,221010,"Tair, Jebel at",Yemen,Africa and Red Sea,Stratovolcano,Eruption Observed,2008 CE,15.55,41.83,244,Trachybasalt / Tephrite Basanite,Rift Zone / Oceanic Crust (< 15 km),Other country,Stratovolcano,0m--1000m,1
45,221020,Zubair Group,Yemen,Africa and Red Sea,Shield,Eruption Observed,2013 CE,15.05,42.18,191,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Shield,0m--1000m,1
46,221021,Zukur,Yemen,Africa and Red Sea,Shield,Evidence Credible,Unknown,14.02,42.75,624,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Shield,0m--1000m,1
47,221022,Hanish,Yemen,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.72,42.73,422,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Shield,0m--1000m,1
48,221030,Jalua,Eritrea,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,15.042,39.82,713,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,0m--1000m,1
49,221040,Alid,Eritrea,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,14.88,39.92,904,Rhyolite,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,0m--1000m,1
51,221050,Gada Ale,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.975,40.408,287,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,0m--1000m,1
52,221060,Alu-Dalafilla,Ethiopia,Africa and Red Sea,Fissure vent(s),Eruption Observed,2008 CE,13.793,40.553,578,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,0m--1000m,1
53,221071,Bora Ale,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.725,40.6,668,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,0m--1000m,1
54,221080,Erta Ale,Ethiopia,Africa and Red Sea,Shield,Eruption Observed,2016 CE,13.6,40.67,613,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Shield,0m--1000m,1
55,221090,Ale Bagu,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.52,40.63,1031,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,1000m--2000m,1
56,221091,Hayli Gubbi,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.5,40.72,521,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Shield,0m--1000m,1
57,221100,Dubbi,Eritrea,Africa and Red Sea,Stratovolcano,Eruption Observed,1861 CE,13.579,41.809,1625,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,1000m--2000m,1
58,221101,Nabro,Eritrea,Africa and Red Sea,Stratovolcano,Eruption Observed,2012 CE,13.37,41.7,2218,Trachyte / Trachydacite,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,2000m--3000m,1
59,221102,Mallahle,Ethiopia-Eritrea,Africa and Red Sea,Stratovolcano,Evidence Uncertain,Unknown,13.27,41.65,1875,Trachyte / Trachydacite,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,1000m--2000m,1
60,221103,Sork Ale,Ethiopia-Eritrea,Africa and Red Sea,Stratovolcano,Evidence Uncertain,Unknown,13.18,41.725,1611,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,1000m--2000m,1
61,221104,Asavyo,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.098,41.599,1338,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Shield,1000m--2000m,1
62,221105,Mat Ala,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.106,41.161,493,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Shield,0m--1000m,1
63,221106,Tat Ali,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.284,41.063,655,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Shield,0m--1000m,1
64,221107,Borawli,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.304,40.987,784,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,0m--1000m,1
65,221110,Afdera,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Uncertain,Unknown,13.088,40.853,1250,Rhyolite,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,1000m--2000m,1
66,221111,Ma Alalta,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.013,40.185,1745,Rhyolite,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,1000m--2000m,1
67,221112,Alayta,Ethiopia,Africa and Red Sea,Shield,Eruption Observed,1915 CE,12.888,40.573,1496,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Shield,1000m--2000m,1
68,221113,Dabbahu,Ethiopia,Africa and Red Sea,Stratovolcano,Eruption Observed,2005 CE,12.595,40.48,1401,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,1000m--2000m,1
69,221114,Dabbayra,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,12.38,40.07,1302,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Shield,1000m--2000m,1
70,221115,Manda Hararo,Ethiopia,Africa and Red Sea,Shield(s),Eruption Observed,2009 CE,12.17,40.82,600,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,0m--1000m,1
71,221116,Groppo,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,11.73,40.25,930,Rhyolite,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,0m--1000m,1
72,221120,Kurub,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,11.88,41.208,625,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Shield,0m--1000m,1
73,221121,Borawli,Ethiopia,Africa and Red Sea,Lava dome(s),Evidence Credible,Unknown,11.63,41.45,875,Rhyolite,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,0m--1000m,1
74,221122,Manda-Inakir,Ethiopia-Djibouti,Africa and Red Sea,Fissure vent(s),Eruption Observed,1928 CE,12.38,42.2,600,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,0m--1000m,1
75,221123,Mousa Alli,Ethiopia-Eritrea-Djibouti,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,12.47,42.4,2028,Rhyolite,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,2000m--3000m,1
76,221124,Gufa,Eritrea-Djibouti,Africa and Red Sea,Volcanic field,Evidence Credible,Unknown,12.55,42.53,600,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,0m--1000m,1
77,221125,Assab Volcanic Field,Eritrea,Africa and Red Sea,Volcanic field,Evidence Credible,Unknown,12.95,42.43,987,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,0m--1000m,1
78,221126,Ardoukoba,Djibouti,Africa and Red Sea,Fissure vent(s),Eruption Observed,1978 CE,11.58,42.47,298,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,0m--1000m,1
80,221141,Dama Ali,Ethiopia,Africa and Red Sea,Shield,Eruption Observed,1631 CE,11.28,41.63,1068,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Shield,1000m--2000m,1
81,221150,Gabillema,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,11.08,41.27,1459,Rhyolite,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,1000m--2000m,1
82,221151,Yangudi,Ethiopia,Africa and Red Sea,Complex,Evidence Credible,Unknown,10.58,41.042,1383,Rhyolite,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,1000m--2000m,1
83,221160,Ayelu,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,10.082,40.702,2145,Rhyolite,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,2000m--3000m,1
84,221170,Adwa,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,10.07,40.84,1733,Rhyolite,Rift Zone / Intermediate Crust (15-25 km),Other country,Stratovolcano,1000m--2000m,1
85,221171,Hertali,Ethiopia,Africa and Red Sea,Fissure vent,Evidence Credible,Unknown,9.78,40.33,900,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,0m--1000m,1
87,221180,Dofan,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,9.35,40.13,1151,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Stratovolcano,1000m--2000m,1
88,221190,Fentale,Ethiopia,Africa and Red Sea,Stratovolcano,Eruption Observed,1820 CE,8.975,39.93,2007,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Stratovolcano,2000m--3000m,1
89,221191,Beru,Ethiopia,Africa and Red Sea,Volcanic field,Evidence Credible,Unknown,8.95,39.75,1100,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
90,221200,Kone,Ethiopia,Africa and Red Sea,Caldera(s),Eruption Observed,1820 CE,8.8,39.692,1619,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
91,221201,Unnamed,Ethiopia,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,8.698,39.64,1413,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
92,221210,Boset-Bericha,Ethiopia,Africa and Red Sea,Stratovolcano(es),Evidence Credible,Unknown,8.558,39.475,2447,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Stratovolcano(es),2000m--3000m,1
93,221220,Bishoftu Volcanic Field,Ethiopia,Africa and Red Sea,Fissure vent(s),Evidence Credible,Unknown,8.78,38.98,1850,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
94,221222,Sodore,Ethiopia,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,8.43,39.35,1765,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
95,221230,Gedamsa,Ethiopia,Africa and Red Sea,Caldera,Evidence Credible,Unknown,8.35,39.18,1984,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
96,221240,Bora-Bericcio,Ethiopia,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,8.221,39.05,2267,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Other type,2000m--3000m,1
97,221250,Tullu Moje,Ethiopia,Africa and Red Sea,Pyroclastic cone,Eruption Observed,1900 CE,8.159,39.137,2343,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Other type,2000m--3000m,1
98,221251,Unnamed,Ethiopia,Africa and Red Sea,Fissure vent(s),Evidence Credible,Unknown,8.013,39.062,1886,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
99,221252,East Zway,Ethiopia,Africa and Red Sea,Fissure vent(s),Evidence Credible,Unknown,7.874,38.902,1889,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
100,221260,Butajiri-Silti Field,Ethiopia,Africa and Red Sea,Fissure vent(s),Evidence Credible,Unknown,8.05,38.35,2281,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,2000m--3000m,1
101,221270,Alutu,Ethiopia,Africa and Red Sea,Stratovolcano,Eruption Dated,50 BCE,7.77,38.78,2335,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Stratovolcano,2000m--3000m,1
102,221280,O'a Caldera,Ethiopia,Africa and Red Sea,Caldera,Evidence Credible,Unknown,7.47,38.58,2075,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Other type,2000m--3000m,1
103,221290,Corbetti Caldera,Ethiopia,Africa and Red Sea,Caldera,Evidence Credible,Unknown,7.18,38.43,2320,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Other type,2000m--3000m,1
105,221292,Tepi,Ethiopia,Africa and Red Sea,Shield,Unrest / Holocene,Unknown,7.42,35.43,2728,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Shield,2000m--3000m,1
106,221293,Hobicha Caldera,Ethiopia,Africa and Red Sea,Caldera,Evidence Uncertain,Unknown,6.78,37.83,1800,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
107,221300,Chiracha,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Uncertain,Unknown,6.712,38.085,1636,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Stratovolcano,1000m--2000m,1
108,221310,Tosa Sucha,Ethiopia,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,5.93,37.57,1650,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
109,221311,Unnamed,Ethiopia,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,5.65,37.67,1200,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,1000m--2000m,1
110,221320,Korath Range,Ethiopia,Africa and Red Sea,Tuff cone(s),Evidence Uncertain,Unknown,5.1,35.88,912,Trachybasalt / Tephrite Basanite,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,0m--1000m,1
111,221330,Mega Basalt Field,Ethiopia-Kenya,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,4.08,37.42,1067,Basalt / Picro-Basalt,Rift Zone / Intermediate Crust (15-25 km),Other country,Other type,1000m--2000m,1
112,222001,North Island,Kenya,Africa and Red Sea,Tuff cone(s),Evidence Credible,Unknown,4.059,36.049,490,Trachyandesite / Basaltic Trachyandesite,Rift Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
113,222010,Central Island,Kenya,Africa and Red Sea,Tuff cone(s),Evidence Credible,Unknown,3.496,36.04,518,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
114,222020,South Island,Kenya,Africa and Red Sea,Stratovolcano,Eruption Observed,1888 CE,2.63,36.6,800,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Stratovolcano,0m--1000m,1
115,222021,Marsabit,Kenya,Africa and Red Sea,Shield,Evidence Uncertain,Unknown,2.32,37.97,1707,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Shield,1000m--2000m,1
116,222030,"Barrier, The",Kenya,Africa and Red Sea,Shield,Eruption Observed,1921 CE,2.32,36.57,1032,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km),Other country,Shield,1000m--2000m,1
117,222040,Namarunu,Kenya,Africa and Red Sea,Shield,Eruption Dated,6550 BCE,1.98,36.43,817,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Shield,0m--1000m,1
118,222050,Segererua Plateau,Kenya,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,1.57,37.9,699,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
119,222051,Emuruangogolak,Kenya,Africa and Red Sea,Shield,Eruption Dated,1910 CE,1.5,36.33,1285,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km),Other country,Shield,1000m--2000m,1
120,222052,Silali,Kenya,Africa and Red Sea,Shield,Eruption Dated,5050 BCE,1.15,36.23,1528,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km),Other country,Shield,1000m--2000m,1
121,222053,Paka,Kenya,Africa and Red Sea,Shield,Eruption Dated,7550 BCE,0.92,36.18,1697,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km),Other country,Shield,1000m--2000m,1
122,222054,Korosi,Kenya,Africa and Red Sea,Shield,Evidence Credible,Unknown,0.77,36.12,1446,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km),Other country,Shield,1000m--2000m,1
123,222055,Ol Kokwe,Kenya,Africa and Red Sea,Shield,Evidence Credible,Unknown,0.62,36.075,1130,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Shield,1000m--2000m,1
124,222056,Nyambeni Hills,Kenya,Africa and Red Sea,Shield,Evidence Credible,Unknown,0.23,37.87,750,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Shield,0m--1000m,1
125,222060,Menengai,Kenya,Africa and Red Sea,Shield,Eruption Dated,6050 BCE,-0.2,36.07,2278,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km),Other country,Shield,2000m--3000m,2
126,222070,Homa Mountain,Kenya,Africa and Red Sea,Complex,Evidence Credible,Unknown,-0.38,34.5,1751,Foidite,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,2
127,222071,Elmenteita Badlands,Kenya,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,-0.52,36.27,2126,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,2000m--3000m,2
128,222080,"Eburru, Ol Doinyo",Kenya,Africa and Red Sea,Complex,Evidence Credible,Unknown,-0.65,36.22,2856,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Other type,2000m--3000m,2
129,222090,Olkaria,Kenya,Africa and Red Sea,Pyroclastic cone(s),Eruption Dated,1770 CE,-0.904,36.292,2434,Rhyolite,Rift Zone / Continental Crust (>25 km),Other country,Other type,2000m--3000m,2
