,Unnamed: 0,Number,Name,Country,Region,Type,Activity_Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant_Rock_Type,Tectonic_Setting,clean_Country,clean_Type,clean_Elevation,clean_Latitude
131,141,223001,Fort Portal,Uganda,Africa and Red Sea,Tuff cone(s),Eruption Dated,2120 BCE,0.7,30.25,1615,Foidite,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
132,142,223002,Kyatwa,Uganda,Africa and Red Sea,Tuff cone(s),Evidence Uncertain,Unknown,0.45,30.25,1430,Foidite,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
133,143,223003,Katwe-Kikorongo,Uganda,Africa and Red Sea,Tuff cone(s),Evidence Credible,Unknown,-0.08,29.92,1067,Foidite,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,2
134,144,223004,Bunyaruguru,Uganda,Africa and Red Sea,Maar(s),Evidence Credible,Unknown,-0.2,30.08,1554,Foidite,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,2
135,145,223005,Katunga,Uganda,Africa and Red Sea,Tuff cone,Evidence Credible,Unknown,-0.47100000000000003,30.191,1707,Foidite,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,2
136,146,223020,Nyamuragira,DR Congo,Africa and Red Sea,Shield,Eruption Observed,2015 CE,-1.4080000000000001,29.2,3058,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km),Other country,Shield,3000m--4000m,2
137,147,223030,Nyiragongo,DR Congo,Africa and Red Sea,Stratovolcano,Eruption Observed,2016 CE,-1.52,29.25,3470,Foidite,Rift Zone / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,2
138,148,223040,Karisimbi,DR Congo-Rwanda,Africa and Red Sea,Stratovolcano,Eruption Dated,8050 BCE,-1.506,29.45,4490,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km),Other country,Stratovolcano,4000m--5000m,2
139,149,223050,Visoke,DR Congo-Rwanda,Africa and Red Sea,Stratovolcano,Eruption Observed,1957 CE,-1.4580000000000002,29.485,3696,Trachyandesite / Basaltic Trachyandesite,Rift Zone / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,2
140,150,223060,Muhavura,Uganda-Rwanda,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,-1.383,29.678,4103,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km),Other country,Stratovolcano,4000m--5000m,2
141,151,223070,Bufumbira,Uganda,Africa and Red Sea,Pyroclastic cone(s),Evidence Uncertain,Unknown,-1.23,29.72,2440,Phono-tephrite /  Tephri-phonolite,Rift Zone / Continental Crust (>25 km),Other country,Other type,2000m--3000m,2
142,152,223080,Tshibinda,DR Congo,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,-2.32,28.75,1460,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,2
143,153,224002,San Carlos,Equatorial Guinea,Africa and Red Sea,Shield,Evidence Credible,Unknown,3.35,8.52,2260,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Shield,2000m--3000m,1
144,154,224003,San Joaquin,Equatorial Guinea,Africa and Red Sea,Shield,Evidence Credible,Unknown,3.35,8.63,2009,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Shield,2000m--3000m,1
145,155,224004,Santa Isabel,Equatorial Guinea,Africa and Red Sea,Shield,Eruption Observed,1923 CE,3.58,8.75,3007,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Shield,3000m--4000m,1
146,156,224010,Cameroon,Cameroon,Africa and Red Sea,Stratovolcano,Eruption Observed,2000 CE,4.203,9.17,4095,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,4000m--5000m,1
147,157,224011,Tombel Graben,Cameroon,Africa and Red Sea,Pyroclastic cone(s),Evidence Credible,Unknown,4.758,9.717,500,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,0m--1000m,1
